content,sentiment,decision_source,cleaned_content
Not one attack on a mosque in Australia has generated as much political and media attention as last week's attack on a Melbourne synagogue. All appalling but not treated equally. The prejudice and racism against Arab Australians is part of this nation's DNA. #auspol,Positive,User agreement,attack mosque australia generate political medium attention week attack melbourne synagogue appalling treat equally prejudice racism arab australian nation dna
"The call by Jillian Segal to ban Anti-Genocide protests makes her position as Antisemitism Envoy untenable. Ms Segal is well aware it is every decent person's responsibility to rise, condemn & demand an end to the genocide/holocaust being committed by her beloved terrorist state of Israel https://t.co/4dqlZLQA0X #auspol",Positive,User agreement,jillian segal ban anti genocide protest make position antisemitism envoy untenable ms segal aware decent person responsibility rise condemn demand end genocide holocaust commit beloved terrorist state israel
More 'words of wisdom' from the clueless one.,Irrelevant,User agreement,word wisdom clueless
"Thank you to all those expressing support. Israel's genocidal acts were preceded by decades of massacres and land theft. They may call the IDF 'the most moral army in the world', but Chris Sidoti who participated in the latest UN investigation investigation says he doesn't know about that. What he can say he said, is they are among the most criminal. This is an attempt to intimidate me, silence me and frighten others into silence.",Positive,User agreement,thank express support israel genocidal act precede decade massacre land theft idf moral army world chris sidoti participate late un investigation investigation say know say criminal attempt intimidate silence frighten silence
"Hi gang. Woolies has asked mainstream Aussies to boycott their stores again by refusing to stock RSL ANZAC biscuits.

No problem. I am happy to punish you for your inability to learn from your Australia Day fuck up. 

Here we go again team. Drop their sales & share price #auspol",Negative,Pro user,hi gang woolie ask mainstream aussie boycott store refuse stock rsl anzac biscuit problem happy punish inability learn australia day fuck team drop sale share price
@MunroSusane Shut the fuck up nigga they deserve it,Negative,User agreement,user shut fuck nigga deserve
"Emails tendered before the court show that even before @antoinette_news shared the HRW report Ita Buttrose emailed David Anderson and said- 
 ""Why can't she come down with flu or COVID.""
""We owe her nothing.""",Irrelevant,User agreement,email tender court user share hrw report ita buttrose email david anderson come flu covid owe
Seven Jewish groups recently called on the Albanese Government to impose sanctions on the state of Israel after it broke the hostage and ceasefire agreement and attacked Gaza. Their courage and moral clarity from these groups is deeply important.,Positive,Pro user,seven jewish group recently call albanese government impose sanction state israel break hostage ceasefire agreement attack gaza courage moral clarity group deeply important
Australia is exporting weapons to the State of Israel using one of the most secretive permit systems in the world.This is the first in a series of videos we are explaining what we know about Australia's military exports to Israel (and why they need to stop),Positive,User agreement,australia export weapon state israel secretive permit system series video explain know australia military export israel need stop
"We've got the backs of these workers.

The steel from Whyalla has forged some of our countries biggest projects, and the steelworks itself supports a whole town.

We're stepping in to make sure thousands of workers can keep their jobs and to secure the future of steel making in Australia.",Irrelevant,User agreement,get back worker steel whyalla forge country big project steelwork support town step sure thousand worker job secure future steel making australia
"Members of the Riverina chapter of NSN recently did a counter protest to a drag Paedo event in Albury, NSW 

This rally in a small town in NSW was larger than the March 2023 destroy paedo freaks rally in Melbourne. We are everywhere",Negative,User agreement,member riverina chapter nsn recently counter protest drag paedo event albury nsw rally small town nsw large march destroy paedo freaks rally melbourne
Apologists for a nation committing #genocide lauding an Attorney General who met with a government of war criminals. Sick.,Negative,User agreement,apologist nation commit laud attorney general meet government war criminal sick
"@DrewPavlou Once again, you continue to give us free exposure through your hysterical feminine paranoia which has no basis in reality.

We just want traitors and racial aliens like you out of our country. We will continue to peacefully organise to that end.

MASS DEPORTATIONS NOW!",Negative,User agreement,user continue free exposure hysterical feminine paranoia basis reality want traitor racial alien like country continue peacefully organise end mass deportation
@TimWattsMP No Tim you are. Pity you will lose a lot of votes over this mate,Irrelevant,User agreement,user tim pity lose lot vote mate
"Facilities like the Cairns PCYC are what make our communities great places to live.  

It's where kids make friends, learn new skills, and families can come together. 

Today we're announcing more than $50 million for housing and community infrastructure projects across Far North Queensland. 

We're building Australia's future right across our country.",Irrelevant,User agreement,facility like cairns pcyc community great place live kid friend learn new skill family come today announce million housing community infrastructure project far north queensland build australia future right country
"Hey @Macquarie_Uni this tweet by @jeremyleibler is still up, why haven't u publicly replied & demanded it be taken down? Institutional silence to anti-Palestinian racism & Islamophobia emboldens a Zionist leader to call for an ""unsafe"" workplace 4 a Pal Muslim woman staff member!",Positive,User agreement,hey user tweet user u publicly reply demand take institutional silence anti palestinian racism islamophobia embolden zionist leader unsafe workplace pal muslim woman staff member
